url,license,label
https://www.openfotos.com/pictures/red-rock-crab-1096.full.jpg,Open Fotos License,crab
https://www.openfotos.com/pictures/lazy-cats-4109.full.jpg,Open Fotos License,cat
https://www.openfotos.com/pictures/beautiful-elephants-4005.full.jpg,Open Fotos License,elephants
https://www.openfotos.com/pictures/funny-wild-pigs-437.full.jpg,Open Fotos License,pig
https://www.openfotos.com/pictures/hopping-5017.full.jpg,Open Fotos License,bird
https://www.openfotos.com/pictures/old-car-4811.full.jpg,Open Fotos License,car
https://www.openfotos.com/pictures/audi-4740.full.jpg,Open Fotos License,car
https://www.openfotos.com/pictures/boarding-in-the-plane-4891.full.jpg,Open Fotos License,plane
https://cdn.pixabay.com/photo/2016/03/09/09/28/bear-1245807_960_720.jpg,Pixabay License,bear
https://cdn.pixabay.com/photo/2015/02/26/06/09/panda-649938_960_720.jpg,Pixabay License,giant panda
https://cdn.pixabay.com/photo/2015/09/22/19/00/ship-952292_960_720.jpg,Pixabay License,boat
https://cdn.pixabay.com/photo/2017/01/16/19/17/horses-1984977_960_720.jpg,Pixabay License,horse
https://cdn.pixabay.com/photo/2015/03/26/09/54/pug-690566_960_720.jpg,Pixabay License,dog
https://cdn.pixabay.com/photo/2016/08/19/15/23/lizard-1605515_960_720.jpg,Pixabay License,lizzard
https://cdn.pixabay.com/photo/2016/07/09/12/16/apple-1506119_960_720.jpg,Pixabay License,apple
https://cdn.pixabay.com/photo/2016/10/07/14/11/tangerines-1721633_960_720.jpg,Pixabay License,orange
https://cdn.pixabay.com/photo/2015/06/19/16/48/watermelon-815072_960_720.jpg,Pixabay License,watermelon
https://cdn.pixabay.com/photo/2017/06/09/16/39/carrots-2387394_960_720.jpg,Pixabay License,carrot
https://cdn.pixabay.com/photo/2019/02/28/22/45/hippo-4027011_960_720.jpg,Pixabay License,hippo
https://cdn.pixabay.com/photo/2012/03/04/00/09/africa-21787_960_720.jpg,Pixabay License,lion
https://cdn.pixabay.com/photo/2015/07/27/19/47/turtle-863336_960_720.jpg,Pixabay License,turtle
https://cdn.pixabay.com/photo/2018/04/15/17/45/fish-3322230_960_720.jpg,Pixabay License,fish
https://cdn.pixabay.com/photo/2013/11/01/11/13/dolphin-203875_960_720.jpg,Pixabay License,dolphin
https://cdn.pixabay.com/photo/2014/05/02/21/49/home-office-336373_960_720.jpg,Pixabay License,laptop
https://cdn.pixabay.com/photo/2012/05/18/21/45/tiger-mosquito-49141_960_720.jpg,Pixabay License,mosquito
https://cdn.pixabay.com/photo/2016/08/09/13/21/coffee-1580595_960_720.jpg,Pixabay License,cup
https://cdn.pixabay.com/photo/2016/02/19/10/36/lemons-1209309_960_720.jpg,Pixabay License,lemon
https://cdn.pixabay.com/photo/2018/12/14/02/41/chengdu-3874136_960_720.jpg,Pixabay License,hotpot
https://cdn.pixabay.com/photo/2015/09/05/12/53/violin-924349_960_720.jpg,Pixabay License,violin
https://cdn.pixabay.com/photo/2015/11/07/11/22/pillows-1031079_960_720.jpg,Pixabay License,pillow
https://cdn.pixabay.com/photo/2016/11/18/22/26/animal-1837164_960_720.jpg,Pixabay License,rhino
https://cdn.pixabay.com/photo/2016/12/04/21/58/rabbit-1882699_960_720.jpg,Pixabay License,rabbit
https://cdn.pixabay.com/photo/2014/10/23/18/56/tiger-500118_960_720.jpg,Pixabay License,tiger
